epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8642,0.65511,2.15303,1.17299,0.74478,0.76031,0.83587,0.68603,0.63522,1.78343,1.15376,0.000332066,0.000332066,0.000332066
2,106.588,0.69542,1.48213,1.17613,0.77685,0.792,0.87539,0.69389,0.69131,1.48275,1.18791,0.000655989,0.000655989,0.000655989
3,164.824,0.71293,1.3114,1.18385,0.77,0.7808,0.86245,0.66936,0.75203,1.41938,1.26615,0.000970483,0.000970483,0.000970483
4,220.513,0.72417,1.19934,1.18617,0.8845,0.78818,0.88406,0.74357,0.65796,1.11133,1.14886,0.000957571,0.000957571,0.000957571
5,277.961,0.68486,1.07065,1.16581,0.84673,0.80952,0.89628,0.73912,0.6516,1.00544,1.1592,0.000943429,0.000943429,0.000943429
6,347.29,0.68313,0.99518,1.15676,0.79123,0.75713,0.86176,0.71903,0.62803,1.09556,1.14238,0.000929286,0.000929286,0.000929286
7,418.684,0.64483,0.92835,1.1275,0.87936,0.84017,0.91225,0.78252,0.59291,0.7902,1.11078,0.000915143,0.000915143,0.000915143
8,492.206,0.6317,0.87529,1.12237,0.88232,0.82459,0.91884,0.77831,0.57522,0.7297,1.09414,0.000901,0.000901,0.000901
9,557.873,0.62669,0.82728,1.11456,0.93671,0.86561,0.94298,0.80917,0.56013,0.62004,1.08817,0.000886857,0.000886857,0.000886857
10,637.464,0.60545,0.79668,1.1129,0.9191,0.87283,0.95151,0.81691,0.55438,0.62926,1.0661,0.000872714,0.000872714,0.000872714
11,699.111,0.62212,0.77599,1.12411,0.88992,0.87831,0.94306,0.80795,0.54901,0.65091,1.06733,0.000858571,0.000858571,0.000858571
12,772.825,0.59406,0.74378,1.09586,0.92645,0.89439,0.94938,0.81943,0.55954,0.57506,1.07476,0.000844429,0.000844429,0.000844429
13,848.897,0.59383,0.72828,1.09416,0.93797,0.89084,0.9586,0.84223,0.52289,0.52756,1.03933,0.000830286,0.000830286,0.000830286
14,919.382,0.57891,0.69383,1.08918,0.87634,0.84894,0.93779,0.81395,0.53462,0.62336,1.04667,0.000816143,0.000816143,0.000816143
15,995.702,0.55612,0.66577,1.07713,0.92057,0.88878,0.95483,0.82601,0.54245,0.54341,1.06508,0.000802,0.000802,0.000802
16,1073.72,0.55914,0.65131,1.0799,0.94528,0.87306,0.95681,0.83619,0.51306,0.52707,1.02766,0.000787857,0.000787857,0.000787857
17,1135.16,0.55436,0.64229,1.07488,0.94961,0.89933,0.96276,0.84028,0.51221,0.48708,1.03626,0.000773714,0.000773714,0.000773714
18,1206.29,0.5356,0.60009,1.0611,0.94537,0.90306,0.96163,0.8389,0.51481,0.48952,1.03134,0.000759571,0.000759571,0.000759571
19,1259.19,0.53466,0.6084,1.06578,0.96086,0.90446,0.96247,0.84851,0.49949,0.45732,1.02534,0.000745429,0.000745429,0.000745429
20,1313.36,0.52454,0.59807,1.05733,0.96235,0.90048,0.96152,0.85544,0.49098,0.4492,1.01418,0.000731286,0.000731286,0.000731286
21,1366.09,0.5169,0.57845,1.05342,0.93732,0.91991,0.96868,0.85671,0.48534,0.44794,1.01155,0.000717143,0.000717143,0.000717143
22,1420.52,0.50642,0.55865,1.0517,0.9611,0.91759,0.96843,0.86138,0.47204,0.42011,1.0046,0.000703,0.000703,0.000703
23,1473.72,0.49085,0.53881,1.03841,0.93474,0.87512,0.95276,0.85013,0.4735,0.48358,0.99788,0.000688857,0.000688857,0.000688857
24,1527.67,0.51039,0.54735,1.04656,0.94724,0.90181,0.96889,0.85975,0.46833,0.42268,0.99683,0.000674714,0.000674714,0.000674714
25,1603.49,0.49488,0.52902,1.03347,0.96049,0.92163,0.97009,0.86154,0.48336,0.39921,1.00671,0.000660571,0.000660571,0.000660571
26,1665.26,0.49436,0.53059,1.0389,0.95639,0.92074,0.96871,0.86667,0.46567,0.39681,1.00288,0.000646429,0.000646429,0.000646429
27,1753.28,0.48196,0.5014,1.03225,0.93851,0.92639,0.96964,0.87227,0.44843,0.40637,0.98208,0.000632286,0.000632286,0.000632286
28,1819.6,0.48051,0.50032,1.03094,0.96788,0.91551,0.97437,0.87821,0.44248,0.3789,0.97459,0.000618143,0.000618143,0.000618143
